country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_range,pollutant_avg_norm
India,Assam,Guwahati,"IITG, Guwahati - PCBA",2025-10-10 18:00:00,26.2028636,91.70046436,NH3,5.0,5.0,5.0,0.0,0.013333333333333334
India,Assam,Guwahati,"IITG, Guwahati - PCBA",2025-10-10 18:00:00,26.2028636,91.70046436,OZONE,6.0,20.0,15.0,14.0,0.04666666666666667
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2025-10-10 18:00:00,26.10887,91.589544,PM10,20.0,500.0,60.0,480.0,0.19666666666666666
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",2025-10-10 18:00:00,26.10887,91.589544,OZONE,15.0,17.0,16.0,2.0,0.05
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",2025-10-10 18:00:00,26.1875,91.744194,SO2,42.0,79.0,54.0,37.0,0.17666666666666667
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",2025-10-10 18:00:00,26.1875,91.744194,CO,16.0,60.0,22.0,44.0,0.07
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",2025-10-10 18:00:00,26.1875,91.744194,OZONE,18.0,18.0,18.0,0.0,0.056666666666666664
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",2025-10-10 18:00:00,26.181742,91.78063,PM2.5,43.0,166.0,82.0,123.0,0.27
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",2025-10-10 18:00:00,26.181742,91.78063,PM10,26.03893510815308,67.61697171381032,44.287520798668886,41.57803660565723,0.14429173599556294
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",2025-10-10 18:00:00,26.349082,92.68449,NO2,1.0,1.0,1.0,0.0,0.0
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",2025-10-10 18:00:00,26.349082,92.68449,OZONE,9.0,9.0,9.0,0.0,0.02666666666666667
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",2025-10-10 18:00:00,11.654054,92.734055,OZONE,5.0,32.0,16.0,27.0,0.05
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",2025-10-10 18:00:00,16.5150833,80.5181667,CO,9.0,41.0,18.0,32.0,0.056666666666666664
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",2025-10-10 18:00:00,14.675886,77.593027,CO,32.0,54.0,46.0,22.0,0.15
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",2025-10-10 18:00:00,14.675886,77.593027,OZONE,9.0,16.0,15.0,7.0,0.04666666666666667
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",2025-10-10 18:00:00,14.465052,78.824187,PM2.5,50.0,52.0,50.0,2.0,0.16333333333333333
